Name,GPX_file,Type,Stafftype,Beds,Area,Lock,Season,Other
Sårjåsjaure Fjällstuga,ut-no_srjsjaure-fjllstuga,STF,Ubetjent,8,TromsFinnmark,Åpen,Hele året,
Sorjushyttene,ut-no_sorjushyttene,DNT,Ubetjent,16,Sulitjelmafjellan,DNT-Nøkkel,Hele året,Strøm
Vannfjordhytta,ut-no_vannfjordhytta,DNT,Nødbu,0,TromsFinnmark,Åpen,Hele året,
Várdáncokka,ut-no_vrdncokka,Privat,Nødbu,0,TromsFinnmark,?,?,
Stohpojohka,ut-no_stohpojohka,Privat,Ubetjent,5,TromsFinnmark,?,?,
Olderfjord hotell,ut-no_olderfjord-hotell,Privat,Betjent,0,TromsFinnmark,Betjent,Sommeråpent,
Bastingammen,ut-no_bastingammen,Privat,Ubetjent,3,TromsFinnmark,Åpen,Hele året,
Reinbukkelvhytta,ut-no_reinbukkelvhytta,DNT,Nødbu,2,TromsFinnmark,Åpen,Hele året,
Bojobæskihytta,ut-no_bojobskihytta,DNT,Ubetjent,8,TromsFinnmark,DNT-Nøkkel,Hele året,
Joatkajávri fjellstue,ut-no_joatkajvri-fjellstue,Privat,Betjent,32,TromsFinnmark,Betjent,Hele året,Proviantsalg
Mollesjohka fjellstue,-mollisjok-fjellstue,Privat,Betjent,30,TromsFinnmark,?,?,Strøm
Rágesluobbalat,ut-no_rgesluobbalat,Privat,Ubetjent,4,TromsFinnmark,?,?,
Masi Turistsenter,ut-no_masi-turistsenter,Privat,Betjent,20,TromsFinnmark,?,?,
Kautokeino Villmarkssenter,ut-no_kautokeino-villmarkssenter,Privat,Betjent,0,TromsFinnmark,?,?,
Reisavannhytta,ut-no_reisavannhytta,Statsskog,Ubetjent,6,TromsFinnmark,Spesialnøkkel,Hele året,Strøm
Luovdigammen,-arturgammen,Statsskog,Ubetjent,2,TromsFinnmark,Åpen,Hele året,
Imogammen,ut-no_imogammen,Statsskog,Ubetjent,2,TromsFinnmark,Åpen,Hele året,
Nedrefosshytta,ut-no_nedrefosshytta,DNT,Ubetjent,16,TromsFinnmark,Spesialnøkkel,Hele året,
Vuomatakka,ut-no_vuomatakka,Statsskog,Ubetjent,2,TromsFinnmark,Åpen,Hele året,
Sieimahytta,ut-no_sieimahytta,Statsskog,Ubetjent,4,TromsFinnmark,Åpen,Hele året,
Nordkalottstua,ut-no_nordkalottstua---ovi-raishiin,Privat,Ubetjent,4,TromsFinnmark,Spesialnøkkel,Hele året,
Biltohytta,ut-no_biltohytta,Statsskog,Ubetjent,10,TromsFinnmark,Spesialnøkkel,Hele året,
Saraelv,ut-no_saraelv,Privat,Ubetjent,8,TromsFinnmark,?,?,
